Package_ID,Applicant_Name,Tax_ID_Extracted,Tax_ID_Siebel,Asset_Class,Equipment_Make,Equipment_Model,Invoice_Amount,Approved_Limit,Extraction_Confidence,Validation_Status,HITL_Routing_Required,Discrepancy_Reason,Dataset_Split,Override_Permitted
PKG-10001,Pioneer Excavation,13-5614226,13-5614226,Medical,GE Healthcare,Revolution CT,"$191,861.38","$206,400.00",97.18%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10002,Liberty Commercial Laundries,21-8078673,21-8078673,Heavy Equipment,Caterpillar,320 Excavator,"$95,928.19","$106,300.00",96.21%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10003,Benchmark Builders,35-8038374,35-8038374,Medical,Siemens Healthineers,Somatom Go.Now CT,"$326,779.71","$409,200.00",92.05%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10004,Midwest Agro Solutions,99-8090293,99-8090293,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$24,328.77","$31,400.00",94.36%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10005,Precision Manufacturing Corp.,58-2622631,58-2622631,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$51,223.56","$64,100.00",97.11%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10006,Liberty Commercial Laundries,25-7350753,25-7350753,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$129,840.31","$156,700.00",98.20%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10007,Omni Packaging Solutions,83-4226067,83-4226067,Commercial Printing,Heidelberg,Speedmaster XL 75,"$57,790.15","$64,000.00",94.03%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10008,Precision Manufacturing Corp.,39-2694522,39-2694522,Agriculture,Case IH,Puma 150 Tractor,"$163,352.58","$205,600.00",93.14%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10009,Tri-State Cranes,36-5479144,36-5479144,Commercial Printing,Komori,Lithrone G40,"$160,166.02","$192,600.00",93.20%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10010,Beacon Dental Care,30-8755439,30-8755439,Agriculture,Case IH,Puma 150 Tractor,"$297,380.84","$359,800.00",95.90%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10011,Nova Tech Labs,17-4842788,17-4842788,Heavy Equipment,Komatsu,PC210 Excavator,"$148,198.01","$158,100.00",98.39%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10012,Matrix Data Centers,50-4567281,50-4567281,Commercial Printing,Canon,imagePRESS C10010VP,"$117,257.42","$149,900.00",95.21%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10013,Vanguard Metalworks,27-5137722,27-5137722,Commercial Printing,Xerox,Iridesse Production Press,"$141,626.14","$175,200.00",95.00%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10014,Red River Cotton Group,61-7073292,61-7073292,Medical,GE Healthcare,Revolution CT,"$302,857.89","$324,900.00",92.33%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10015,Pioneer Excavation,29-3684052,29-3684052,Commercial Printing,Canon,imagePRESS C10010VP,"$151,389.54","$173,500.00",96.17%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10016,Oakridge Senior Living,77-5218028,77-5218028,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$135,239.68","$145,900.00",98.19%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10017,Stellar Power & Utilities,92-6707197,92-6707197,Heavy Equipment,Komatsu,PC210 Excavator,"$153,910.09","$179,100.00",98.68%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10018,Vanguard Metalworks,74-3997281,74-3997281,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$161,872.60","$182,000.00",96.47%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10019,CareFirst Urgent Care,35-3564217,35-3564217,IT Hardware,HPE,ProLiant DL380 Gen10,"$47,362.74","$59,000.00",95.71%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10020,Apex Logistics Group,86-6438436,86-6438436,Agriculture,John Deere,8R 370 Tractor,"$77,966.93","$88,900.00",98.90%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10021,Cascade Heavy Industries,40-1971823,40-1971823,Medical,Philips,Epiq Elite Ultrasound,"$434,084.83","$465,100.00",95.40%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10022,Valley Agribusiness Inc.,78-3109911,78-3109911,Medical,Hologic,3Dimension Mammography,"$292,584.71","$347,400.00",93.86%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10023,CareFirst Urgent Care,64-4553384,64-4553384,Manufacturing,Okuma,Genos L3000 Lathe,"$136,581.47","$167,800.00",94.79%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10024,Omni Packaging Solutions,66-9683481,66-9683481,Agriculture,John Deere,8R 370 Tractor,"$111,976.40","$119,400.00",92.15%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10025,Benchmark Builders,39-4694634,39-4694634,Heavy Equipment,Caterpillar,320 Excavator,"$200,332.96","$213,300.00",92.47%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10026,Summit Medical Diagnostics,52-2188789,52-2188789,Manufacturing,Mazak,Quick Turn 250 CNC Lathe,"$78,986.82","$92,500.00",95.77%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10027,Matrix Data Centers,83-8930103,83-8930103,Medical,Siemens Healthineers,Somatom Go.Now CT,"$392,249.10","$430,500.00",92.68%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10028,Southwest Milling Corp.,55-8106470,55-8106470,Agriculture,New Holland,CR8.90 Combine,"$265,959.19","$282,900.00",96.57%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10029,Blue Horizon Shipping,17-7754864,17-7754864,Commercial Printing,Konica Minolta,AccurioPress C14000,"$186,100.73","$200,500.00",93.34%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10030,Liberty Commercial Laundries,67-3351868,67-3351868,Agriculture,John Deere,S770 Combine Harvester,"$119,636.29","$133,100.00",98.46%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10031,River City Transport,80-2642635,80-2642635,Heavy Equipment,Case,580 Super N Backhoe,"$249,878.02","$314,600.00",98.78%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10032,Beacon Dental Care,31-7818496,31-7818496,Agriculture,New Holland,CR8.90 Combine,"$103,436.82","$119,000.00",92.41%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10033,Coastal Dredging & Salvage,10-7550190,10-7550190,IT Hardware,Lenovo,ThinkSystem SR650,"$32,114.95","$39,300.00",97.11%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10034,Benchmark Builders,94-9164991,94-9164991,Medical,GE Healthcare,Revolution CT,"$239,012.35","$308,800.00",96.05%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10035,Liberty Commercial Laundries,17-6261415,17-6261415,Heavy Equipment,Caterpillar,320 Excavator,"$179,310.19","$210,800.00",97.97%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10036,Midwest Agro Solutions,17-9519948,17-9519948,Heavy Equipment,Caterpillar,D6 Dozer,"$91,648.63","$97,800.00",98.03%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10037,Highland Lumber Co.,25-5130808,25-5130808,Manufacturing,Trumpf,TruLaser 1030 Fiber,"$45,563.83","$48,800.00",96.60%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10038,Matrix Data Centers,76-6307805,76-6307805,IT Hardware,HPE,ProLiant DL380 Gen10,"$55,183.56","$62,300.00",93.86%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10039,Helix Health Systems,95-6033115,95-6033115,Agriculture,Case IH,Puma 150 Tractor,"$282,254.58","$362,400.00",92.07%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10040,Merit Plastics LLC,82-2677407,82-2677407,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$116,236.23","$129,800.00",98.53%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10041,Valley Agribusiness Inc.,41-7199635,41-7199635,IT Hardware,HPE,ProLiant DL380 Gen10,"$41,291.07","$49,000.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10042,Crescent Machine Tools,11-6022741,11-6022741,Commercial Printing,Heidelberg,Speedmaster XL 75,"$209,618.10","$227,100.00",92.81%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10043,Blue Horizon Shipping,80-3607983,80-3607983,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$51,289.79","$63,100.00",93.43%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10044,Vanguard Metalworks,74-9196204,74-9196204,IT Hardware,Dell Technologies,PowerEdge R750 Server Rack,"$20,537.91","$23,700.00",93.94%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10045,Apex Logistics Group,52-3194789,52-3194789,Commercial Printing,Konica Minolta,AccurioPress C14000,"$77,468.94","$89,900.00",96.94%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10046,Benchmark Builders,11-2876932,11-2876932,Heavy Equipment,Case,580 Super N Backhoe,"$233,667.86","$277,200.00",97.84%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10047,Red River Cotton Group,80-3484601,80-3484601,Agriculture,John Deere,S770 Combine Harvester,"$60,457.21","$69,000.00",98.53%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10048,Summit Medical Diagnostics,55-4524499,55-4524499,Commercial Printing,HP,Indigo 12000 Digital Press,"$163,378.68","$186,000.00",95.92%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10049,First Choice Radiology,89-3592974,89-3592974,Medical,GE Healthcare,Revolution CT,"$442,861.81","$554,800.00",98.17%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10050,Pioneer Excavation,38-6613348,38-6613348,Agriculture,Kubota,M8 Series Tractor,"$190,805.15","$229,400.00",94.20%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10051,Ironclad Foundry,75-4089765,75-4089765,Commercial Printing,Heidelberg,Speedmaster XL 75,"$56,828.16","$68,400.00",98.39%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10052,Omega Freight Solutions,66-1075678,66-1075678,Medical,Siemens Healthineers,Magnetom Sola MRI,"$175,069.95","$200,700.00",98.82%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10053,Liberty Commercial Laundries,27-2432921,27-2432921,IT Hardware,NetApp,FAS2750 Storage Array,"$27,891.07","$35,800.00",93.92%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10054,Pioneer Excavation,81-4201974,81-4201974,IT Hardware,NetApp,FAS2750 Storage Array,"$19,264.81","$21,000.00",98.90%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10055,Beacon Dental Care,67-3310864,67-3310864,Heavy Equipment,Case,580 Super N Backhoe,"$177,196.48","$187,300.00",92.09%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10056,Liberty Commercial Laundries,45-1079361,45-1079361,IT Hardware,HP,ProLiant DL380 Gen10,"$19,286.04","$22,800.00",95.78%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10057,Apex Logistics Group,51-1053784,51-1053784,Medical,Philips,Epiq Elite Ultrasound,"$231,083.84","$287,800.00",93.48%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10058,Vanguard Metalworks,83-1134267,83-1134267,Manufacturing,Amada,AE-NT Series Punch Press,"$154,261.31","$165,600.00",93.89%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10059,Terra Firma Construction,86-6304523,86-6304523,Commercial Printing,Canon,imagePRESS C10010VP,"$219,803.54","$233,500.00",95.79%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10060,Matrix Data Centers,89-1304526,89-1304526,Commercial Printing,HP,Indigo 12000 Digital Press,"$209,384.71","$232,700.00",98.11%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10061,Ironclad Foundry,77-4221087,77-4221087,Medical,Siemens Healthineers,Somatom Go.Now CT,"$262,380.09","$298,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10062,Highland Lumber Co.,76-6304217,76-6304217,Manufacturing,Okuma,Genos L3000 Lathe,"$45,621.39","$49,300.00",93.48%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10063,Benchmark Builders,99-2311547,99-2311547,IT Hardware,HPE,ProLiant DL380 Gen10,"$70,452.19","$89,000.00",96.19%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10064,Omega Freight Solutions,35-4221087,35-4221087,Heavy Equipment,Caterpillar,D6 Dozer,"$216,238.07","$243,200.00",97.82%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10065,Apex Logistics Group,51-2234291,51-2234291,Agriculture,New Holland,CR8.90 Combine,"$223,421.39","$235,700.00",96.78%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10066,Liberty Commercial Laundries,86-6307187,86-6307187,Medical,Siemens Healthineers,Magnetom Sola MRI,"$175,621.09","$219,800.00",98.59%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10067,Helix Health Systems,55-1034217,55-1034217,Medical,Hologic,3Dimension Mammography,"$334,195.48","$353,500.00",95.71%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10068,Matrix Data Centers,29-4552136,29-4552136,Medical,GE Healthcare,Optima MR360 MRI,"$311,492.35","$395,400.00",93.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10069,Greenfield Farms,35-1034291,35-1034291,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$111,200.00",97.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10070,Southwest Milling Corp.,89-1123412,89-1123412,Heavy Equipment,Case,580 Super N Backhoe,"$175,621.39","$213,800.00",97.89%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10071,Highland Lumber Co.,75-2311547,75-2311547,IT Hardware,HP,ProLiant DL380 Gen10,"$17,562.31","$21,300.00",97.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10072,Ironclad Foundry,35-1045217,35-1045217,Manufacturing,Okuma,Genos L3000 Lathe,"$115,621.39","$123,800.00",95.67%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10073,NextGen IT Services,86-6304521,86-6304521,IT Hardware,Dell Technologies,PowerEdge R750 Server Rack,"$23,108.95","$29,600.00",95.67%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10074,Stellar Power & Utilities,11-2311547,11-2311547,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$115,621.39","$123,800.00",97.89%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10075,Vanguard Metalworks,55-1045291,55-1045291,Commercial Printing,Heidelberg,Speedmaster XL 75,"$175,621.39","$198,500.00",93.45%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10076,River City Transport,55-1034521,55-1034521,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$115,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10077,Nova Tech Labs,89-1034526,89-1034526,Heavy Equipment,Caterpillar,D6 Dozer,"$215,621.39","$256,700.00",97.89%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10078,Tri-State Cranes,35-4221089,35-4221089,Medical,Philips,Epiq Elite Ultrasound,"$215,621.09","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10079,Pioneer Excavation,89-1034521,89-1034521,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$17,562.31","$21,500.00",97.89%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10080,Blue Horizon Shipping,55-1034526,55-1034526,Commercial Printing,Xerox,Iridesse Production Press,"$115,621.39","$134,500.00",93.48%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10081,Valley Agribusiness Inc.,89-1034521,89-1034521,Agriculture,Case IH,Puma 150 Tractor,"$115,621.39","$123,800.00",93.48%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10082,Merit Plastics LLC,55-1034526,55-1034526,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$115,600.00",93.48%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10083,Precision Manufacturing Corp.,35-4221087,35-4221087,Medical,GE Healthcare,Revolution CT,"$262,380.09","$298,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10084,Liberty Commercial Laundries,89-1034526,89-1034526,Manufacturing,Okuma,Genos L3000 Lathe,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10085,Matrix Data Centers,35-4221089,35-4221089,Medical,GE Healthcare,Optima MR360 MRI,"$215,621.09","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10086,Vanguard Metalworks,89-1034521,89-1034521,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10087,Apex Logistics Group,55-1034526,55-1034526,Heavy Equipment,John Deere,850K Dozer,"$115,621.39","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10088,Cascade Heavy Industries,89-1034521,89-1034521,Agriculture,John Deere,8R 370 Tractor,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10089,Red River Cotton Group,55-1034526,55-1034526,Agriculture,New Holland,CR8.90 Combine,"$115,621.39","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10090,Benchmark Builders,35-4221087,35-4221087,IT Hardware,HP,ProLiant DL380 Gen10,"$17,562.31","$21,300.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10091,Pioneer Excavation,89-1034526,89-1034526,Heavy Equipment,Caterpillar,320 Excavator,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10092,Summit Medical Diagnostics,35-4221089,35-4221089,Commercial Printing,Heidelberg,Speedmaster XL 75,"$115,621.09","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10093,Nova Tech Labs,89-1034521,89-1034521,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10094,Greenfield Farms,55-1034526,55-1034526,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$115,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10095,Highland Lumber Co.,35-4221087,35-4221087,Agriculture,Case IH,Puma 150 Tractor,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10096,Southwest Milling Corp.,89-1034526,89-1034526,Manufacturing,Mazak,Quick Turn 250 CNC Lathe,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10097,Liberty Commercial Laundries,35-4221089,35-4221089,Medical,GE Healthcare,Revolution CT,"$215,621.09","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10098,Ironclad Foundry,89-1034521,89-1034521,IT Hardware,NetApp,FAS2750 Storage Array,"$17,562.31","$21,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10099,Apex Logistics Group,55-1034526,55-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10100,Vanguard Metalworks,35-4221087,35-4221087,Manufacturing,Amada,AE-NT Series Punch Press,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10101,Terra Firma Construction,89-1034526,89-1034526,Heavy Equipment,Caterpillar,D6 Dozer,"$215,621.39","$256,700.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10102,Matrix Data Centers,35-4221089,35-4221089,Medical,Siemens Healthineers,Magnetom Sola MRI,"$215,621.09","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10103,Greenfield Farms,89-1034521,89-1034521,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$17,562.31","$21,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10104,Stellar Power & Utilities,55-1034526,55-1034526,Heavy Equipment,Komatsu,PC210 Excavator,"$115,621.39","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10105,Tri-State Cranes,35-4221087,35-4221087,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$115,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10106,NextGen IT Services,89-1034526,89-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10107,River City Transport,35-4221089,35-4221089,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.09","$115,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10108,Nova Tech Labs,89-1034521,89-1034521,IT Hardware,HPE,ProLiant DL380 Gen10,"$17,562.31","$21,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10109,Blue Horizon Shipping,55-1034526,55-1034526,Heavy Equipment,Case,580 Super N Backhoe,"$115,621.39","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10110,Valley Agribusiness Inc.,35-4221087,35-4221087,Agriculture,John Deere,8R 370 Tractor,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10111,Merit Plastics LLC,89-1034526,89-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10112,Precision Manufacturing Corp.,35-4221089,35-4221089,IT Hardware,Dell Technologies,PowerEdge R750 Server Rack,"$17,562.09","$21,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10113,Liberty Commercial Laundries,89-1034521,89-1034521,Heavy Equipment,Caterpillar,D6 Dozer,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10114,Matrix Data Centers,55-1034526,55-1034526,Commercial Printing,Heidelberg,Speedmaster XL 75,"$115,621.39","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10115,Vanguard Metalworks,35-4221087,35-4221087,Medical,Siemens Healthineers,Somatom Go.Now CT,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10116,Apex Logistics Group,89-1034526,89-1034526,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$17,562.39","$21,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
