Package_ID,Applicant_Name,Tax_ID_Extracted,Tax_ID_Siebel,Asset_Class,Equipment_Make,Equipment_Model,Invoice_Amount,Approved_Limit,Extraction_Confidence,Validation_Status,HITL_Routing_Required,Discrepancy_Reason,Dataset_Split,Override_Permitted
PKG-10117,Cascade Heavy Industries,35-4221089,35-4221089,Heavy Equipment,John Deere,850K Dozer,"$115,621.09","$134,500.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10118,Red River Cotton Group,89-1034521,89-1034521,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$115,621.39","$123,800.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10119,Benchmark Builders,55-1034526,55-1034526,Medical,Siemens Healthineers,Somatom Go.Now CT,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10120,Pioneer Excavation,35-4221087,35-4221087,Heavy Equipment,Caterpillar,D6 Dozer,"$215,621.39","$245,600.00",94.12%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10121,River City Transport,52-7360218,52-7360218,Heavy Equipment,Komatsu,PC210 Excavator,"$154,982.11","$189,200.00",76.21%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (76%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10122,Vanguard Metalworks,64-9810452,64-9810452,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$158,602.19","$190,200.00",73.92%,Passed,TRUE,Low Extraction Confidence: VIN_Number (73%) due to smudge,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10123,Valley Agribusiness Inc.,80-3620187,80-3620187,Medical,Siemens Healthineers,Magnetom Sola MRI,"$192,108.91","$210,300.00",78.12%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (78%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10124,Helix Health Systems,89-1045621,89-1045621,Commercial Printing,Heidelberg,Speedmaster XL 75,"$209,123.56","$220,500.00",85.21%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (85%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10125,Vanguard Metalworks,27-2311547,27-2311547,IT Hardware,HP,ProLiant DL380 Gen10,"$17,562.31","$21,300.00",82.39%,Passed,TRUE,Low Extraction Confidence: Serial_Number (82%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10126,Liberty Commercial Laundries,67-3310864,67-3310864,Heavy Equipment,Case,580 Super N Backhoe,"$177,196.48","$187,300.00",78.91%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (78%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10127,Apex Logistics Group,51-1053784,51-1053784,Medical,Philips,Epiq Elite Ultrasound,"$231,083.84","$287,800.00",83.42%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (83%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10128,Vanguard Metalworks,83-1134267,83-1134267,Manufacturing,Amada,AE-NT Series Punch Press,"$154,261.31","$165,600.00",79.23%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (79%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10129,Terra Firma Construction,86-6304523,86-6304523,Commercial Printing,Canon,imagePRESS C10010VP,"$219,803.54","$233,500.00",81.24%,Passed,TRUE,Low Extraction Confidence: Serial_Number (81%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10130,Matrix Data Centers,89-1304526,89-1304526,Commercial Printing,HP,Indigo 12000 Digital Press,"$209,384.71","$232,700.00",78.42%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (78%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10131,Ironclad Foundry,77-4221087,77-4221087,Medical,Siemens Healthineers,Somatom Go.Now CT,"$262,380.09","$298,500.00",80.34%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (80%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10132,Highland Lumber Co.,76-6304217,76-6304217,Manufacturing,Okuma,Genos L3000 Lathe,"$45,621.39","$49,300.00",85.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (85%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10133,Benchmark Builders,99-2311547,99-2311547,IT Hardware,HPE,ProLiant DL380 Gen10,"$70,452.19","$89,000.00",81.23%,Passed,TRUE,Low Extraction Confidence: Serial_Number (81%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10134,Omega Freight Solutions,35-4221087,35-4221087,Heavy Equipment,Caterpillar,D6 Dozer,"$216,238.07","$243,200.00",83.24%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (83%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10135,Apex Logistics Group,51-2234291,51-2234291,Agriculture,New Holland,CR8.90 Combine,"$223,421.39","$235,700.00",81.24%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (81%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10136,Liberty Commercial Laundries,86-6307187,86-6307187,Medical,Siemens Healthineers,Magnetom Sola MRI,"$175,621.09","$219,800.00",76.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (76%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10137,Helix Health Systems,55-1034217,55-1034217,Medical,Hologic,3Dimension Mammography,"$334,195.48","$353,500.00",80.12%,Passed,TRUE,Low Extraction Confidence: Serial_Number (80%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10138,Matrix Data Centers,29-4552136,29-4552136,Medical,GE Healthcare,Optima MR360 MRI,"$311,492.35","$395,400.00",82.34%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (82%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10139,Greenfield Farms,35-1034291,35-1034291,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$111,200.00",83.41%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (83%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10140,Southwest Milling Corp.,89-1123412,89-1123412,Heavy Equipment,Case,580 Super N Backhoe,"$175,621.39","$213,800.00",76.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (76%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10141,Highland Lumber Co.,75-2311547,75-2311547,IT Hardware,HP,ProLiant DL380 Gen10,"$17,562.31","$21,300.00",80.34%,Passed,TRUE,Low Extraction Confidence: Serial_Number (80%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10142,Ironclad Foundry,35-1045217,35-1045217,Manufacturing,Okuma,Genos L3000 Lathe,"$115,621.39","$123,800.00",81.24%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (81%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10143,NextGen IT Services,86-6304521,86-6304521,IT Hardware,Dell Technologies,PowerEdge R750 Server Rack,"$23,108.95","$29,600.00",83.41%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (83%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10144,Stellar Power & Utilities,11-2311547,11-2311547,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$115,621.39","$123,800.00",78.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (78%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10145,Vanguard Metalworks,55-1045291,55-1045291,Commercial Printing,Heidelberg,Speedmaster XL 75,"$175,621.39","$198,500.00",80.12%,Passed,TRUE,Low Extraction Confidence: Serial_Number (80%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10146,River City Transport,55-1034521,55-1034521,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$115,600.00",82.34%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (82%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10147,Nova Tech Labs,89-1034526,89-1034526,Heavy Equipment,Caterpillar,D6 Dozer,"$215,621.39","$256,700.00",78.42%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (78%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10148,Tri-State Cranes,35-4221089,35-4221089,Medical,Philips,Epiq Elite Ultrasound,"$215,621.09","$245,600.00",76.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (76%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10149,Pioneer Excavation,89-1034521,89-1034521,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$17,562.31","$21,500.00",80.34%,Passed,TRUE,Low Extraction Confidence: Serial_Number (80%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10150,Blue Horizon Shipping,55-1034526,55-1034526,Commercial Printing,Xerox,Iridesse Production Press,"$115,621.39","$134,500.00",81.24%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (81%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10151,Valley Agribusiness Inc.,89-1034521,89-1034521,Agriculture,Case IH,Puma 150 Tractor,"$115,621.39","$123,800.00",83.41%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (83%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10152,Merit Plastics LLC,55-1034526,55-1034526,Commercial Printing,Konica Minolta,AccurioPress C14000,"$103,421.39","$115,600.00",78.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (78%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10153,Precision Manufacturing Corp.,35-4221087,35-4221087,Medical,GE Healthcare,Revolution CT,"$262,380.09","$298,500.00",80.12%,Passed,TRUE,Low Extraction Confidence: Serial_Number (80%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10154,Liberty Commercial Laundries,89-1034526,89-1034526,Manufacturing,Okuma,Genos L3000 Lathe,"$115,621.39","$123,800.00",82.34%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (82%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10155,Matrix Data Centers,35-4221089,35-4221089,Medical,GE Healthcare,Optima MR360 MRI,"$215,621.09","$245,600.00",78.42%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (78%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10156,Vanguard Metalworks,89-1034521,89-1034521,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$115,621.39","$123,800.00",76.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (76%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10157,Apex Logistics Group,55-1034526,55-1034526,Heavy Equipment,John Deere,850K Dozer,"$115,621.39","$134,500.00",80.34%,Passed,TRUE,Low Extraction Confidence: Serial_Number (80%) due to hand-annotated notes near the metadata block.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10158,Cascade Heavy Industries,89-1034521,89-1034521,Agriculture,John Deere,8R 370 Tractor,"$115,621.39","$123,800.00",81.24%,Passed,TRUE,Low Extraction Confidence: Equipment_Model (81%) due to handwritten correction over original text.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10159,Red River Cotton Group,55-1034526,55-1034526,Agriculture,New Holland,CR8.90 Combine,"$115,621.39","$134,500.00",83.41%,Passed,TRUE,Low Extraction Confidence: Invoice_Amount (83%) due to smeared print over the total price section.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10160,Benchmark Builders,35-4221087,35-4221087,IT Hardware,HP,ProLiant DL380 Gen10,"$17,562.31","$21,300.00",78.42%,Passed,TRUE,Low Extraction Confidence: Tax_ID_Extracted (78%) due to low-DPI scan and faded ink.,Messy Set,Yes (Fuzzy match and visual verification required)
PKG-10161,Matrix Data Centers,39-4475586,39-4475586,Manufacturing,Mazak,Quick Turn 250 CNC Lathe,"$148,293.41","$129,631.13",92.54%,Failed,TRUE,"Invoice amount ($148,293.41) exceeds Siebel approved_limit ($129,631.13) by $18,662.28.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10162,Apex Logistics Group,81-2268341,81-2268341,IT Hardware,Dell Technologies,PowerEdge R750 Server Rack,"$53,421.39","$53,135.29",95.67%,Failed,TRUE,"Invoice amount ($53,421.39) exceeds Siebel approved_limit ($53,135.29) by $286.10.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10163,Nova Tech Labs,89-1034521,89-1034521,Agriculture,New Holland,CR8.90 Combine,"$115,621.39","$134,500.00",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10164,Summit Medical Diagnostics,35-4221087,35-4221087,Commercial Printing,Xerox,Iridesse Production Press,"$115,621.39","$134,500.00",97.82%,Failed,TRUE,Asset Class Mismatch: Extracted asset class 'Commercial Printing' (Xerox Iridesse Production Press) does not match Siebel approved collateral profile class 'Medical'.,Discrepancy Set,Yes (Underwriter override allowed - Requires collateral profile re-classification)
PKG-10165,Pioneer Excavation,89-1034526,89-1034526,Heavy Equipment,Caterpillar,D6 Dozer,"$215,621.39","$198,304.56",93.48%,Failed,TRUE,"Invoice amount ($215,621.39) exceeds Siebel approved_limit ($198,304.56) by $17,316.83.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10166,Southwest Milling Corp.,89-1034521,35-4221087,Agriculture,Case IH,Puma 150 Tractor,"$115,621.39","$134,500.00",94.12%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '89-1034521' does not match Siebel CRM profile Tax ID '35-4221087'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10167,Benchmark Builders,35-1045217,35-1045217,Commercial Printing,HP,Indigo 12000 Digital Press,"$115,621.39","$115,386.12",97.12%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($115,386.12) by $235.27.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10168,Apex Logistics Group,51-1053784,51-1053784,Heavy Equipment,John Deere,850K Dozer,"$115,621.39","$91,045.23",95.67%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($91,045.23) by $24,576.16.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10169,Vanguard Metalworks,83-1134267,83-1134267,Manufacturing,Haas Automation,VF-2 CNC Vertical Mill,"$115,621.39","$115,421.19",94.12%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($115,421.19) by $200.20.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10170,Pioneer Excavation,89-1034521,89-1034521,Heavy Equipment,Caterpillar,320 Excavator,"$115,621.39","$134,500.00",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10171,Summit Medical Diagnostics,35-4221087,35-4221087,Manufacturing,Okuma,Genos L3000 Lathe,"$115,621.39","$123,800.00",93.48%,Failed,TRUE,Asset Class Mismatch: Extracted asset class 'Manufacturing' (Okuma Genos L3000 Lathe) does not match Siebel approved collateral profile class 'Medical'.,Discrepancy Set,Yes (Underwriter override allowed - Requires collateral profile re-classification)
PKG-10172,River City Transport,89-1034526,55-1034526,Commercial Printing,Heidelberg,Speedmaster XL 75,"$115,621.39","$134,500.00",95.78%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '89-1034526' does not match Siebel CRM profile Tax ID '55-1034526'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10173,Nova Tech Labs,89-1034521,89-1034521,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$215,438.19",94.12%,Failed,TRUE,"Invoice amount ($215,621.39) exceeds Siebel approved_limit ($215,438.19) by $183.20.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10174,Blue Horizon Shipping,55-1034526,55-1034526,Heavy Equipment,Case,580 Super N Backhoe,"$115,621.39","$101,389.56",93.48%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($101,389.56) by $14,231.83.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10175,Valley Agribusiness Inc.,89-1034521,55-1034526,Agriculture,John Deere,8R 370 Tractor,"$115,621.39","$123,800.00",98.19%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '89-1034521' does not match Siebel CRM profile Tax ID '55-1034526'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10176,Merit Plastics LLC,55-1034526,55-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$215,286.19",92.34%,Failed,TRUE,"Invoice amount ($215,621.39) exceeds Siebel approved_limit ($215,286.19) by $335.20.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10177,Precision Manufacturing Corp.,35-4221087,35-4221087,IT Hardware,HP,ProLiant DL380 Gen10,"$17,562.31","$14,298.56",94.12%,Failed,TRUE,"Invoice amount ($17,562.31) exceeds Siebel approved_limit ($14,298.56) by $3,263.75.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10178,Liberty Commercial Laundries,89-1034526,89-1034526,Heavy Equipment,Caterpillar,320 Excavator,"$115,621.39","$115,621.39",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10179,Matrix Data Centers,35-4221089,35-4221089,Commercial Printing,HP,Indigo 12000 Digital Press,"$209,384.71","$192,842.11",96.78%,Failed,TRUE,"Invoice amount ($209,384.71) exceeds Siebel approved_limit ($192,842.11) by $16,542.60.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10180,Vanguard Metalworks,89-1034521,89-1034521,IT Hardware,Lenovo,ThinkSystem SR650,"$32,114.95","$31,980.25",93.48%,Failed,TRUE,"Invoice amount ($32,114.95) exceeds Siebel approved_limit ($31,980.25) by $134.70.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10181,Apex Logistics Group,55-1034526,89-1034526,IT Hardware,Cisco Systems,Catalyst 9300 Switch Stack,"$17,562.31","$21,500.00",94.12%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '55-1034526' does not match Siebel CRM profile Tax ID '89-1034526'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10182,Cascade Heavy Industries,89-1034521,89-1034521,Heavy Equipment,John Deere,850K Dozer,"$115,621.39","$115,186.29",95.78%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($115,186.29) by $435.10.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10183,Red River Cotton Group,55-1034526,55-1034526,Agriculture,John Deere,8R 370 Tractor,"$115,621.39","$95,123.45",93.12%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($95,123.45) by $20,497.94.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10184,Benchmark Builders,35-4221087,35-4221087,Medical,Siemens Healthineers,Somatom Go.Now CT,"$262,380.09","$262,380.09",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10185,Pioneer Excavation,89-1034526,89-1034526,Agriculture,New Holland,CR8.90 Combine,"$115,621.39","$115,200.00",97.89%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($115,200.00) by $421.39.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10186,Summit Medical Diagnostics,35-4221089,35-4221089,Commercial Printing,Heidelberg,Speedmaster XL 75,"$115,621.09","$92,843.56",93.12%,Failed,TRUE,"Invoice amount ($115,621.09) exceeds Siebel approved_limit ($92,843.56) by $22,777.53.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10187,Nova Tech Labs,89-1034521,35-4221089,Agriculture,Case IH,Puma 150 Tractor,"$115,621.39","$123,800.00",96.78%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '89-1034521' does not match Siebel CRM profile Tax ID '35-4221089'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10188,Greenfield Farms,55-1034526,55-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$215,498.25",94.12%,Failed,TRUE,"Invoice amount ($215,621.39) exceeds Siebel approved_limit ($215,498.25) by $123.14.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10189,Highland Lumber Co.,35-4221087,35-4221087,Agriculture,Case IH,Puma 150 Tractor,"$115,621.39","$115,621.39",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10190,Southwest Milling Corp.,89-1034526,89-1034526,Agriculture,New Holland,CR8.90 Combine,"$115,621.39","$81,234.56",94.12%,Failed,TRUE,"Invoice amount ($115,621.39) exceeds Siebel approved_limit ($81,234.56) by $34,386.83.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10191,Liberty Commercial Laundries,35-4221089,35-4221089,Manufacturing,Mazak,Quick Turn 250 CNC Lathe,"$115,621.09","$115,384.56",92.34%,Failed,TRUE,"Invoice amount ($115,621.09) exceeds Siebel approved_limit ($115,384.56) by $236.53.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10192,Ironclad Foundry,89-1034521,55-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$245,600.00",93.48%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '89-1034521' does not match Siebel CRM profile Tax ID '55-1034526'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10193,Apex Logistics Group,55-1034526,55-1034526,Medical,Philips,Epiq Elite Ultrasound,"$215,621.39","$215,198.12",95.67%,Failed,TRUE,"Invoice amount ($215,621.39) exceeds Siebel approved_limit ($215,198.12) by $423.27.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10194,Terra Firma Construction,27-1642620,27-1642620,IT Hardware,Lenovo,ThinkSystem SR650,"$56,764.32","$44,240.23",97.31%,Failed,TRUE,"Invoice amount ($56,764.32) exceeds Siebel approved_limit ($44,240.23) by $12,524.09.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10195,Merit Plastics LLC,10-2329187,10-2329187,Heavy Equipment,Komatsu,PC210 Excavator,"$116,661.31","$98,071.29",95.84%,Failed,TRUE,"Invoice amount ($116,661.31) exceeds Siebel approved_limit ($98,071.29) by $18,590.02.",Discrepancy Set,No (Automatic Rejection - Overage exceeds $500.00 threshold)
PKG-10196,Crescent Machine Tools,64-2865405,64-2865405,IT Hardware,HPE,ProLiant DL380 Gen10,"$33,069.07","$32,752.37",93.67%,Failed,TRUE,"Invoice amount ($33,069.07) exceeds Siebel approved_limit ($32,752.37) by $316.70.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10197,Merit Plastics LLC,68-2053729,68-2053729,Heavy Equipment,John Deere,850K Dozer,"$181,445.64","$181,159.62",96.42%,Failed,TRUE,"Invoice amount ($181,445.64) exceeds Siebel approved_limit ($181,159.62) by $286.02.",Discrepancy Set,Yes (Underwriter override allowed - Overage <= $500.00)
PKG-10198,Terra Firma Construction,47-8201433,47-8201433,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$139,978.73","$161,000.00",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10199,Precision Manufacturing Corp.,77-7049927,77-7049927,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$172,493.93","$198,400.00",0.00%,Incomplete,TRUE,Package Incomplete: Credit Application is missing from the loan package folder in FileNet.,Discrepancy Set,No (Automatic Rejection - Mandatory document missing)
PKG-10200,Coastal Dredging & Salvage,70-1730386,55-2133461,Commercial Printing,Canon,imagePRESS C10010VP,"$216,776.70","$249,300.00",97.23%,Failed,TRUE,Tax ID Mismatch: Extracted from invoice '70-1730386' does not match Siebel CRM profile Tax ID '55-2133461'.,Discrepancy Set,No (Required Compliance Check - Suspected fraud or input error)
PKG-10201,Frontier Builders Group Inc,59-5362264,59-5362264,Heavy Equipment,Case,580 Super N Backhoe,"$180,542.00","$190,281.00",97.00%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10202,Discovery Leasing Corp,47-8923001,47-8923001,Commercial Printing,Xerox,Iridesse Production Press,"$141,237.00","$149,278.00",97.00%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
PKG-10203,Falcon Heavy Industries Corp,60-5102105,60-5102105,Heavy Equipment,Bobcat,T76 Compact Track Loader,"$111,378.00","$121,417.00",97.00%,Passed,FALSE,None. All deterministic validation checks passed successfully.,Happy Path,N/A
